DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,EMS_ID,NAPS_ID,RAW_VALUE,ROUNDED_VALUE,UNIT,INSTRUMENT,PARAMETER,OWNER,REGION
1/1/2017 1:00,1/1/2017,1:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,9.82674,9.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 2:00,1/1/2017,2:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.55419,0.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 3:00,1/1/2017,3:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.430365,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 4:00,1/1/2017,4:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.781523,0.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 5:00,1/1/2017,5:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.3761694,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 6:00,1/1/2017,6:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.37698,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 7:00,1/1/2017,7:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,0.3858786,0.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 8:00,1/1/2017,8:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,1.196753,1.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 9:00,1/1/2017,9:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,17.57165,17.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 10:00,1/1/2017,10:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,25.21092,25.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 11:00,1/1/2017,11:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,25.87544,25.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 12:00,1/1/2017,12:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,30.78856,30.8,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 13:00,1/1/2017,13:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.40172,31.4,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 14:00,1/1/2017,14:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.30881,31.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 15:00,1/1/2017,15:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,27.17896,27.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 16:00,1/1/2017,16:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.32506,31.3,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 17:00,1/1/2017,17:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,33.18453,33.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 18:00,1/1/2017,18:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.92422,31.9,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 19:00,1/1/2017,19:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.12101,31.1,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 20:00,1/1/2017,20:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,31.18042,31.2,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 21:00,1/1/2017,21:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,29.47935,29.5,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 22:00,1/1/2017,22:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,25.59153,25.6,ppb,NA,O3,MVRD,02 - Lower Mainland
1/1/2017 23:00,1/1/2017,23:00,Vancouver International Airport #2,VANCOUVER INTERNATIONAL AIRPORT #2,E232246,10,29.61431,29.6,ppb,NA,O3,MVRD,02 - Lower Mainland
